USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver      152  10.5  1.0 414148000  84976   ??  Ss    4:15PM  47:42.08 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
dmitrygorbunow    1159   6.9  1.8 412848704 149360   ??  S     4:17PM   1:29.74 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
_coreaudiod        192   5.0  0.2 410421056  20256   ??  Ss    4:15PM  16:02.24 /usr/sbin/coreaudiod
dmitrygorbunow    8665   3.8  1.1 420018400  91744   ??  S     9:20PM   6:38.19 /Applications/PyCharm.app/Contents/MacOS/pycharm
dmitrygorbunow    9195   3.2  0.8 1600447408  63600   ??  S    11:11PM   0:14.27 /Applications/Discord.app/Contents/Frameworks/Discord Helper (Renderer).app/Contents/MacOS/Discord Helper (Renderer) --type=renderer --user-data-dir=/Users/dmitrygorbunow/Library/Application Support/discord --secure-schemes=disclip --bypasscsp-schemes=sentry-ipc --cors-schemes=sentry-ipc --fetch-schemes=disclip --app-path=/Applications/Discord.app/Contents/Resources/app.asar --no-sandbox --no-zygote --autoplay-policy=no-user-gesture-required --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1712062129076010 --launch-time-ticks=19354129292 --shared-files --field-trial-handle=1718379636,r,5524885637517621388,12175906853310735846,262144 --enable-features=kWebSQLAccess --disable-features=HardwareMediaKeyHandling,MediaSessionService,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --enable-node-leakage-in-renderers
dmitrygorbunow    9170   2.6  0.2 411489536  12720   ??  S    11:10PM   0:02.78 /Library/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python -m flask run
dmitrygorbunow    2100   2.6  0.9 412635120  78528   ??  S     4:32PM   2:55.78 /Applications/Spotify.app/Contents/MacOS/Spotify
root              2793   2.1  0.2 410431600  18768   ??  Ss    4:56PM   2:00.05 /usr/sbin/bluetoothd
dmitrygorbunow    9293   0.9  0.8 411891616  69552   ??  S    11:16PM   0:00.35 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
root               135   0.9  0.1 410369664  10704   ??  Ss    4:15PM   0:20.31 /usr/libexec/dasd
dmitrygorbunow    9248   0.6  1.0 412298064  80112   ??  S    11:13PM   0:05.28 /private/var/folders/4z/nxrvxy9d65v8j9d_vxgxd3p00000gn/T/AppTranslocation/BB498BBB-B40B-41CC-A2FF-6E40DE169FB9/d/DeepL.app/Contents/MacOS/DeepL
root               162   0.4  0.1 410374992   9792   ??  Ss    4:15PM   0:09.02 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
dmitrygorbunow    8609   0.3  0.3 414853520  23072   ??  Ss    9:16PM   0:01.40 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
_coreaudiod       5687   0.2  0.1 410235680   4592   ??  Ss    7:03PM   0:01.13 Core Audio Driver (MSTeamsAudioDevice.driver)
_coreaudiod        308   0.2  0.0 410201168   2464   ??  Ss    4:15PM   0:01.70 Core Audio Driver (ZoomAudioDevice.driver)
root              1036   0.2  0.0 410365808   4032   ??  Ss    4:16PM   0:35.51 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
dmitrygorbunow    8508   0.1  0.3 410890416  21408   ??  S     9:08PM   0:02.19 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
dmitrygorbunow    9226   0.1  2.3 500244080 194592   ??  Ss   11:11PM   0:08.92 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
dmitrygorbunow    8828   0.1  0.7 413440512  61440   ??  Ss    9:21PM   0:18.73 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
